id,Cod. Disciplina,Per. Aluno,Situação Disc.
aoe1bz,SI31F,1,Aprovado por Nota/Frequência
aoe1bz,SI31D,1,Aprovado por Nota/Frequência
aoe1bz,SI31C,1,Aprovado por Nota/Frequência
aoe1bz,SI31B,1,Aprovado por Nota/Frequência
aoe1bz,SI31A,1,Aprovado por Nota/Frequência
aoe1bz,SI31E,1,Aprovado por Nota/Frequência
aoe1bz,SI31G,1,Aprovado por Nota/Frequência
aoe1bz,SI32A,2,Aprovado por Nota/Frequência
aoe1bz,SI32B,2,Aprovado por Nota/Frequência
aoe1bz,SI32C,2,Aprovado em Exame de Suficiência
aoe1bz,SI32D,2,Aprovado por Nota/Frequência
aoe1bz,SI32F,2,Aprovado por Nota/Frequência
aoe1bz,SI32E,2,Aprovado por Nota/Frequência
aoe1bz,SI33B,3,Reprovado por Nota/Frequência
aoe1bz,SI33A,3,Aprovado por Nota/Frequência
aoe1bz,SI33C,3,Aprovado por Nota/Frequência
aoe1bz,SI33F,3,Aprovado por Nota/Frequência
aoe1bz,SI33E,3,Aprovado por Nota/Frequência
aoe1bz,SI33D,3,Aprovado por Nota/Frequência
aoe1bz,SI34B,4,Aprovado por Nota/Frequência
aoe1bz,SI34A,4,Aprovado por Nota/Frequência
aoe1bz,SI34D,4,Aprovado por Nota/Frequência
aoe1bz,SI34C,4,Aprovado por Nota/Frequência
aoe1bz,SI34E,4,Aprovado por Nota/Frequência
aoe1bz,SI34F,4,Aprovado por Nota/Frequência
aoe1bz,SI35F,5,Aprovado por Nota/Frequência
aoe1bz,SI35C,5,Aprovado por Nota/Frequência
aoe1bz,SI35E,5,Aprovado por Nota/Frequência
aoe1bz,SI35D,5,Aprovado por Nota/Frequência
aoe1bz,SI35G,5,Aprovado por Nota/Frequência
aoe1bz,SI35B,5,Aprovado por Nota/Frequência
aoe1bz,SI35A,5,Aprovado por Nota/Frequência
aoe1bz,SI33B,6,Aprovado por Nota/Frequência
aoe1bz,SI36H,6,Aprovado por Nota/Frequência
aoe1bz,SI36G,6,Aprovado por Nota/Frequência
aoe1bz,SI36C,6,Aprovado por Nota/Frequência
aoe1bz,SI36E,6,Aprovado por Nota/Frequência
aoe1bz,SI36B,6,Aprovado por Nota/Frequência
aoe1bz,SI36D,6,Aprovado por Nota/Frequência
aoe1bz,SI36A,6,Aprovado por Nota/Frequência
aoe1bz,SI33B,6,Reprovado por Nota/Frequência
aoe1bz,SI36F,6,Aprovado por Nota/Frequência
aoe1bz,SI37A,6,Aprovado por Nota
di576t,SI31A,1,Aprovado por Nota/Frequência
di576t,SI31B,1,Aprovado por Nota/Frequência
di576t,SI31C,1,Reprovado por Nota
di576t,SI31D,1,Aprovado por Nota/Frequência
di576t,SI31E,1,Aprovado por Nota/Frequência
di576t,SI31G,1,Aprovado por Nota/Frequência
di576t,SI31F,1,Aprovado por Nota/Frequência
di576t,SI32A,2,Aprovado por Nota/Frequência
di576t,SI32B,2,Aprovado por Nota/Frequência
di576t,SI32D,2,Aprovado por Nota/Frequência
di576t,SI32C,2,Aprovado em Exame de Suficiência
di576t,SI32E,2,Aprovado por Nota/Frequência
di576t,SI32F,2,Reprovado por Nota
di576t,SI33F,3,Reprovado por Nota
di576t,SI32F,3,Aprovado por Nota/Frequência
di576t,SI31C,3,Aprovado por Nota/Frequência
di576t,SI33A,3,Aprovado por Nota/Frequência
di576t,SI33B,3,Reprovado por Nota/Frequência
di576t,SI33C,3,Aprovado por Nota/Frequência
di576t,SI33E,3,Reprovado por Nota
di576t,SI33D,3,Aprovado por Nota/Frequência
di576t,SI34C,4,Aprovado por Nota/Frequência
di576t,SI34E,4,Aprovado por Nota/Frequência
di576t,SI34D,4,Reprovado por Nota
di576t,SI34B,4,Aprovado por Nota/Frequência
di576t,SI34F,4,Reprovado por Nota
di576t,SI34A,4,Aprovado por Nota/Frequência
di576t,SI33F,4,Aprovado por Nota/Frequência
di576t,SI35G,5,Aprovado por Nota/Frequência
di576t,SI35E,5,Aprovado por Nota/Frequência
di576t,SI35F,5,Aprovado por Nota/Frequência
di576t,SI35D,5,Aprovado por Nota/Frequência
di576t,SI35A,5,Aprovado por Nota/Frequência
di576t,SI35B,5,Aprovado por Nota/Frequência
di576t,SI35C,5,Aprovado por Nota/Frequência
di576t,SI34F,5,Aprovado por Nota/Frequência
di576t,SI34D,5,Aprovado por Nota/Frequência
di576t,SI33E,5,Aprovado por Nota/Frequência
di576t,SI36E,6,Aprovado por Nota/Frequência
di576t,SI36G,6,Aprovado por Nota/Frequência
di576t,SI36A,6,Aprovado por Nota/Frequência
di576t,SI36C,6,Aprovado por Nota/Frequência
di576t,SI36H,6,Aprovado por Nota/Frequência
di576t,SI36F,6,Aprovado por Nota/Frequência
di576t,SI36B,6,Aprovado por Nota/Frequência
di576t,SI33B,6,Aprovado por Nota/Frequência
di576t,SI37A,6,Aprovado por Nota
di576t,SI36D,6,Aprovado por Nota/Frequência
djw46t,SI31B,1,Aprovado por Nota/Frequência
djw46t,SI31A,1,Aprovado por Nota/Frequência
djw46t,SI31C,1,Reprovado por Nota
djw46t,SI31D,1,Aprovado por Nota/Frequência
djw46t,SI31E,1,Aprovado por Nota/Frequência
djw46t,SI31F,1,Aprovado por Nota/Frequência
djw46t,SI31G,1,Aprovado por Nota/Frequência
djw46t,SI32B,2,Aprovado por Nota/Frequência
djw46t,SI32A,2,Aprovado por Nota/Frequência
djw46t,SI32C,2,Aprovado em Exame de Suficiência
djw46t,SI32F,2,Aprovado por Nota/Frequência
djw46t,SI32E,2,Aprovado por Nota/Frequência
djw46t,SI32D,2,Aprovado por Nota/Frequência
djw46t,SI33A,3,Aprovado por Nota/Frequência
djw46t,SI33B,3,Aprovado por Nota/Frequência
djw46t,SI33F,3,Aprovado por Nota/Frequência
djw46t,SI33D,3,Aprovado por Nota/Frequência
djw46t,SI33C,3,Aprovado por Nota/Frequência
djw46t,SI33E,3,Aprovado por Nota/Frequência
djw46t,SI34C,4,Aprovado por Nota/Frequência
djw46t,SI34F,4,Aprovado por Nota/Frequência
djw46t,SI34E,4,Aprovado por Nota/Frequência
djw46t,SI34D,4,Aprovado por Nota/Frequência
djw46t,SI31C,4,Aprovado por Nota/Frequência
djw46t,SI34A,4,Aprovado por Nota/Frequência
djw46t,SI34B,4,Aprovado por Nota/Frequência
djw46t,SI35B,5,Aprovado por Nota/Frequência
djw46t,SI35D,5,Reprovado por Nota
djw46t,SI35A,5,Reprovado por Nota
